outer_fold,feature,scaled_coefficient
3,effect_and_interactions__interaction_temperature_50__waveform_三角波,-0.0074039910179
3,effect_and_interactions__interaction_temperature_70__waveform_正弦波,-0.0268759977787
3,effect_and_interactions__interaction_temperature_70__waveform_三角波,0.0288598023956
3,effect_and_interactions__interaction_temperature_25__material_材料1,0.00255654282435
3,effect_and_interactions__interaction_temperature_25__material_材料2,0.00824956784481
3,effect_and_interactions__interaction_temperature_25__material_材料3,0.00387742219669
3,effect_and_interactions__interaction_temperature_50__material_材料1,-0.00405999754625
3,effect_and_interactions__interaction_temperature_50__material_材料2,0.0150636757792
3,effect_and_interactions__interaction_temperature_50__material_材料3,-0.00820978683945
3,effect_and_interactions__interaction_temperature_70__material_材料1,-0.00160356869496
3,effect_and_interactions__interaction_temperature_70__material_材料2,-0.00730678745552
3,effect_and_interactions__interaction_temperature_70__material_材料3,-0.00896680138542
3,effect_and_interactions__interaction_waveform_正弦波__material_材料1,-0.0530467438669
3,effect_and_interactions__interaction_waveform_正弦波__material_材料2,0.0367801714961
3,effect_and_interactions__interaction_waveform_正弦波__material_材料3,0.0367123135291
3,effect_and_interactions__interaction_waveform_三角波__material_材料1,0.0909564030068
3,effect_and_interactions__interaction_waveform_三角波__material_材料2,-0.050515367515
3,effect_and_interactions__interaction_waveform_三角波__material_材料3,-0.0581069007714
4,operating_splines__log_frequency_Hz_sp_0,-0.606614499711
4,operating_splines__log_frequency_Hz_sp_1,-1.30578004091
4,operating_splines__log_frequency_Hz_sp_2,-0.839672927588
4,operating_splines__log_frequency_Hz_sp_3,-0.493328273554
4,operating_splines__log_b_m_T_sp_0,-0.929957561849
4,operating_splines__log_b_m_T_sp_1,-2.45557472897
4,operating_splines__log_b_m_T_sp_2,-1.50783462128
4,operating_splines__log_b_m_T_sp_3,-0.84008170353
4,effect_and_interactions__effect_temperature_25,0.22627294522
4,effect_and_interactions__effect_temperature_50,0.0220540951058
4,effect_and_interactions__effect_temperature_70,-0.104629852953
4,effect_and_interactions__effect_waveform_正弦波,-0.122981077592
4,effect_and_interactions__effect_waveform_三角波,0.176524343255
4,effect_and_interactions__effect_material_材料1,-0.104679514648
4,effect_and_interactions__effect_material_材料2,-0.054498384317
4,effect_and_interactions__effect_material_材料3,0.022913349137
4,effect_and_interactions__interaction_temperature_25__waveform_正弦波,0.0647279492968
4,effect_and_interactions__interaction_temperature_25__waveform_三角波,-0.0706048656466
4,effect_and_interactions__interaction_temperature_50__waveform_正弦波,0.00483564034857
4,effect_and_interactions__interaction_temperature_50__waveform_三角波,-0.00859114653047
4,effect_and_interactions__interaction_temperature_70__waveform_正弦波,-0.0272632806871
4,effect_and_interactions__interaction_temperature_70__waveform_三角波,0.0313165547398
4,effect_and_interactions__interaction_temperature_25__material_材料1,0.00371192243202
4,effect_and_interactions__interaction_temperature_25__material_材料2,0.00622463734174
4,effect_and_interactions__interaction_temperature_25__material_材料3,0.00596109491372
