q5_region_id,valid_repetitions,pareto_repetitions,conditional_region_pareto_rate,minimum_valid_repetitions,minimum_conditional_rate,bootstrap_region_stability_pass
材料1|正弦波|50|fq0|bq3,500,0,0,400,0.5,False
材料1|正弦波|50|fq1|bq0,500,146,0.292,400,0.5,False
材料1|正弦波|50|fq1|bq1,500,0,0,400,0.5,False
材料1|正弦波|50|fq1|bq2,500,0,0,400,0.5,False
材料1|正弦波|50|fq1|bq3,500,0,0,400,0.5,False
材料1|正弦波|50|fq2|bq0,500,395,0.79,400,0.5,True
材料1|正弦波|50|fq2|bq1,498,46,0.0923694779116,400,0.5,False
材料1|正弦波|50|fq2|bq2,498,8,0.0160642570281,400,0.5,False
材料1|正弦波|50|fq2|bq3,494,5,0.0101214574899,400,0.5,False
材料1|正弦波|50|fq3|bq0,492,324,0.658536585366,400,0.5,True
材料1|正弦波|50|fq3|bq1,440,4,0.00909090909091,400,0.5,False
材料1|正弦波|50|fq3|bq2,313,110,0.351437699681,400,0.5,False
材料1|正弦波|70|fq0|bq0,479,40,0.0835073068894,400,0.5,False
材料1|正弦波|70|fq0|bq1,500,0,0,400,0.5,False
材料1|正弦波|70|fq0|bq2,500,0,0,400,0.5,False
材料1|正弦波|70|fq0|bq3,500,0,0,400,0.5,False
材料1|正弦波|70|fq1|bq0,500,493,0.986,400,0.5,True
材料1|正弦波|70|fq1|bq1,500,439,0.878,400,0.5,True
材料1|正弦波|70|fq1|bq2,500,102,0.204,400,0.5,False
材料1|正弦波|70|fq1|bq3,500,3,0.006,400,0.5,False
材料1|正弦波|70|fq2|bq0,500,495,0.99,400,0.5,True
材料1|正弦波|70|fq2|bq1,499,483,0.967935871743,400,0.5,True
材料1|正弦波|70|fq2|bq2,497,457,0.919517102616,400,0.5,True
材料1|正弦波|70|fq2|bq3,495,34,0.0686868686869,400,0.5,False
材料1|正弦波|70|fq3|bq0,500,271,0.542,400,0.5,True
材料1|正弦波|70|fq3|bq1,481,443,0.920997920998,400,0.5,True
材料1|正弦波|70|fq3|bq2,438,111,0.253424657534,400,0.5,False
材料1|正弦波|70|fq3|bq3,334,39,0.116766467066,400,0.5,False
材料1|正弦波|90|fq0|bq0,332,47,0.14156626506,400,0.5,False
材料1|正弦波|90|fq0|bq1,500,132,0.264,400,0.5,False
材料1|正弦波|90|fq0|bq2,500,4,0.008,400,0.5,False
材料1|正弦波|90|fq0|bq3,500,0,0,400,0.5,False
材料1|正弦波|90|fq1|bq0,500,500,1,400,0.5,True
材料1|正弦波|90|fq1|bq1,500,500,1,400,0.5,True
材料1|正弦波|90|fq1|bq2,500,416,0.832,400,0.5,True
材料1|正弦波|90|fq1|bq3,500,14,0.028,400,0.5,False
材料1|正弦波|90|fq2|bq0,500,491,0.982,400,0.5,True
材料1|正弦波|90|fq2|bq1,499,496,0.993987975952,400,0.5,True
材料1|正弦波|90|fq2|bq2,499,483,0.967935871743,400,0.5,True
材料1|正弦波|90|fq2|bq3,493,118,0.239350912779,400,0.5,False
材料1|正弦波|90|fq3|bq0,500,41,0.082,400,0.5,False
材料1|正弦波|90|fq3|bq1,500,452,0.904,400,0.5,True
材料1|正弦波|90|fq3|bq2,497,492,0.989939637827,400,0.5,True
材料2|三角波|25|fq0|bq1,316,0,0,400,0.5,False
材料2|三角波|25|fq0|bq2,496,0,0,400,0.5,False
材料2|三角波|25|fq0|bq3,500,0,0,400,0.5,False
材料2|三角波|25|fq1|bq0,476,0,0,400,0.5,False
材料2|三角波|25|fq1|bq1,496,0,0,400,0.5,False
材料2|三角波|25|fq1|bq2,500,0,0,400,0.5,False
材料2|三角波|25|fq1|bq3,500,0,0,400,0.5,False
材料2|三角波|25|fq2|bq0,500,0,0,400,0.5,False
材料2|三角波|25|fq2|bq1,498,0,0,400,0.5,False
材料2|三角波|25|fq2|bq2,500,0,0,400,0.5,False
材料2|三角波|25|fq2|bq3,500,0,0,400,0.5,False
材料2|三角波|25|fq3|bq0,500,0,0,400,0.5,False
材料2|三角波|25|fq3|bq1,500,0,0,400,0.5,False
材料2|三角波|25|fq3|bq2,499,0,0,400,0.5,False
材料2|三角波|25|fq3|bq3,470,0,0,400,0.5,False
材料2|三角波|50|fq0|bq1,414,0,0,400,0.5,False
材料2|三角波|50|fq0|bq2,496,0,0,400,0.5,False
材料2|三角波|50|fq0|bq3,500,0,0,400,0.5,False
材料2|三角波|50|fq1|bq0,470,0,0,400,0.5,False
材料2|三角波|50|fq1|bq1,500,0,0,400,0.5,False
材料2|三角波|50|fq1|bq2,499,0,0,400,0.5,False
材料2|三角波|50|fq1|bq3,500,0,0,400,0.5,False
材料2|三角波|50|fq2|bq0,500,0,0,400,0.5,False
材料2|三角波|50|fq2|bq1,499,0,0,400,0.5,False
材料2|三角波|50|fq2|bq2,499,1,0.00200400801603,400,0.5,False
材料2|三角波|50|fq2|bq3,500,1,0.002,400,0.5,False
材料2|三角波|50|fq3|bq0,500,314,0.628,400,0.5,True
材料2|三角波|50|fq3|bq1,497,0,0,400,0.5,False
材料2|三角波|50|fq3|bq2,500,3,0.006,400,0.5,False
材料2|三角波|50|fq3|bq3,486,25,0.0514403292181,400,0.5,False
材料2|三角波|70|fq0|bq1,447,0,0,400,0.5,False
材料2|三角波|70|fq0|bq2,494,0,0,400,0.5,False
材料2|三角波|70|fq0|bq3,500,0,0,400,0.5,False
材料2|三角波|70|fq1|bq0,441,0,0,400,0.5,False
材料2|三角波|70|fq1|bq1,496,0,0,400,0.5,False
材料2|三角波|70|fq1|bq2,499,0,0,400,0.5,False
材料2|三角波|70|fq1|bq3,500,0,0,400,0.5,False
材料2|三角波|70|fq2|bq0,499,0,0,400,0.5,False
材料2|三角波|70|fq2|bq1,499,385,0.771543086172,400,0.5,True
材料2|三角波|70|fq2|bq2,498,103,0.206827309237,400,0.5,False
材料2|三角波|70|fq2|bq3,500,158,0.316,400,0.5,False
材料2|三角波|70|fq3|bq0,500,5,0.01,400,0.5,False
材料2|三角波|70|fq3|bq1,500,63,0.126,400,0.5,False
材料2|三角波|70|fq3|bq2,498,158,0.317269076305,400,0.5,False
材料2|三角波|70|fq3|bq3,442,170,0.384615384615,400,0.5,False
材料2|三角波|90|fq0|bq1,322,0,0,400,0.5,False
材料2|三角波|90|fq0|bq2,497,0,0,400,0.5,False
材料2|三角波|90|fq0|bq3,500,0,0,400,0.5,False
材料2|三角波|90|fq1|bq0,320,0,0,400,0.5,False
材料2|三角波|90|fq1|bq1,499,0,0,400,0.5,False
材料2|三角波|90|fq1|bq2,500,0,0,400,0.5,False
材料2|三角波|90|fq1|bq3,500,0,0,400,0.5,False
材料2|三角波|90|fq2|bq0,500,3,0.006,400,0.5,False
材料2|三角波|90|fq2|bq1,498,372,0.746987951807,400,0.5,True
材料2|三角波|90|fq2|bq2,499,176,0.352705410822,400,0.5,False
材料2|三角波|90|fq2|bq3,500,31,0.062,400,0.5,False
材料2|三角波|90|fq3|bq0,500,124,0.248,400,0.5,False
材料2|三角波|90|fq3|bq1,500,21,0.042,400,0.5,False
材料2|三角波|90|fq3|bq2,500,148,0.296,400,0.5,False
材料2|三角波|90|fq3|bq3,492,334,0.678861788618,400,0.5,True
材料2|梯形波|25|fq0|bq1,489,0,0,400,0.5,False
材料2|梯形波|25|fq0|bq2,500,0,0,400,0.5,False
材料2|梯形波|25|fq0|bq3,500,0,0,400,0.5,False
材料2|梯形波|25|fq1|bq0,320,0,0,400,0.5,False
材料2|梯形波|25|fq1|bq1,500,0,0,400,0.5,False
材料2|梯形波|25|fq1|bq2,496,0,0,400,0.5,False
材料2|梯形波|25|fq1|bq3,500,0,0,400,0.5,False
材料2|梯形波|25|fq2|bq0,477,0,0,400,0.5,False
材料2|梯形波|25|fq2|bq1,476,0,0,400,0.5,False
材料2|梯形波|25|fq2|bq2,470,0,0,400,0.5,False
材料2|梯形波|25|fq2|bq3,488,0,0,400,0.5,False
材料2|梯形波|25|fq3|bq0,500,337,0.674,400,0.5,True
材料2|梯形波|25|fq3|bq1,500,0,0,400,0.5,False
材料2|梯形波|25|fq3|bq2,500,0,0,400,0.5,False
材料2|梯形波|25|fq3|bq3,496,0,0,400,0.5,False
材料2|梯形波|50|fq0|bq1,497,0,0,400,0.5,False
材料2|梯形波|50|fq0|bq2,500,0,0,400,0.5,False
材料2|梯形波|50|fq0|bq3,500,0,0,400,0.5,False
材料2|梯形波|50|fq1|bq0,434,0,0,400,0.5,False
材料2|梯形波|50|fq1|bq1,497,0,0,400,0.5,False
材料2|梯形波|50|fq1|bq2,476,0,0,400,0.5,False
材料2|梯形波|50|fq1|bq3,500,0,0,400,0.5,False
材料2|梯形波|50|fq2|bq0,481,0,0,400,0.5,False
材料2|梯形波|50|fq2|bq1,476,0,0,400,0.5,False
材料2|梯形波|50|fq2|bq2,470,0,0,400,0.5,False
材料2|梯形波|50|fq2|bq3,498,0,0,400,0.5,False
材料2|梯形波|50|fq3|bq0,500,110,0.22,400,0.5,False
材料2|梯形波|50|fq3|bq1,500,0,0,400,0.5,False
材料2|梯形波|50|fq3|bq2,500,1,0.002,400,0.5,False
材料2|梯形波|50|fq3|bq3,493,0,0,400,0.5,False
材料2|梯形波|70|fq0|bq1,441,0,0,400,0.5,False
材料2|梯形波|70|fq0|bq2,500,0,0,400,0.5,False
材料2|梯形波|70|fq0|bq3,500,0,0,400,0.5,False
材料2|梯形波|70|fq1|bq0,322,0,0,400,0.5,False
材料2|梯形波|70|fq1|bq1,497,0,0,400,0.5,False
材料2|梯形波|70|fq1|bq2,498,0,0,400,0.5,False
材料2|梯形波|70|fq1|bq3,500,0,0,400,0.5,False
材料2|梯形波|70|fq2|bq0,489,14,0.0286298568507,400,0.5,False
材料2|梯形波|70|fq2|bq1,467,0,0,400,0.5,False
材料2|梯形波|70|fq2|bq2,477,0,0,400,0.5,False
材料2|梯形波|70|fq2|bq3,495,0,0,400,0.5,False
材料2|梯形波|70|fq3|bq0,500,132,0.264,400,0.5,False
材料2|梯形波|70|fq3|bq1,500,115,0.23,400,0.5,False
材料2|梯形波|70|fq3|bq2,500,94,0.188,400,0.5,False
材料2|梯形波|70|fq3|bq3,496,2,0.00403225806452,400,0.5,False
材料2|梯形波|90|fq0|bq1,472,0,0,400,0.5,False
材料2|梯形波|90|fq0|bq2,500,0,0,400,0.5,False
材料2|梯形波|90|fq0|bq3,500,0,0,400,0.5,False
材料2|梯形波|90|fq1|bq0,314,0,0,400,0.5,False
材料2|梯形波|90|fq1|bq1,499,0,0,400,0.5,False
材料2|梯形波|90|fq1|bq2,496,0,0,400,0.5,False
材料2|梯形波|90|fq1|bq3,500,0,0,400,0.5,False
材料2|梯形波|90|fq2|bq0,492,23,0.0467479674797,400,0.5,False
材料2|梯形波|90|fq2|bq1,475,18,0.0378947368421,400,0.5,False
材料2|梯形波|90|fq2|bq2,475,0,0,400,0.5,False
材料2|梯形波|90|fq2|bq3,494,0,0,400,0.5,False
材料2|梯形波|90|fq3|bq0,500,0,0,400,0.5,False
材料2|梯形波|90|fq3|bq1,499,13,0.0260521042084,400,0.5,False
材料2|梯形波|90|fq3|bq2,500,13,0.026,400,0.5,False
