outer_fold,candidate_index,parameters_json,inner_fold,rmsle
0,11,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0884762193818
0,11,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0889479089165
0,12,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0981435911834
0,12,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0920800354526
0,12,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0941352769755
0,12,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0947863012038
0,13,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",0,0.100808816018
0,13,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0998567219512
0,13,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0949879063158
0,13,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0985511480949
0,14,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",0,0.109276440748
0,14,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",1,0.108456989994
0,14,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",2,0.107885686893
0,14,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.108539705879
0,15,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0931234205435
0,15,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0901689806881
0,15,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",2,0.0896949065493
0,15,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0909957692603
0,16,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0869988442253
0,16,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0870477110969
0,16,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",2,0.090245919892
0,16,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0880974917381
0,17,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0900634645488
0,17,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0918240231902
0,17,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",2,0.0867150419393
0,17,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0895341765594
1,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0962097393656
1,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0980896431425
1,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",2,0.0900289481806
1,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0947761102296
1,1,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0899858005512
1,1,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0931468757392
1,1,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0841968135799
