q5_region_id,candidate_n,candidate_fold_count,heldout_pareto_fold_support,required_fold_support,region_fold_support_pass
材料2|三角波|25|fq1|bq1,9,5,0,3,False
材料2|三角波|25|fq1|bq2,13,4,0,3,False
材料2|三角波|25|fq1|bq3,21,4,0,3,False
材料2|三角波|25|fq2|bq0,17,4,0,3,False
材料2|三角波|25|fq2|bq1,26,4,0,3,False
材料2|三角波|25|fq2|bq2,24,3,0,3,False
材料2|三角波|25|fq2|bq3,25,5,0,3,False
材料2|三角波|25|fq3|bq0,33,4,0,3,False
材料2|三角波|25|fq3|bq1,18,3,0,3,False
材料2|三角波|25|fq3|bq2,19,3,0,3,False
材料2|三角波|25|fq3|bq3,8,2,0,3,False
材料2|三角波|50|fq0|bq1,3,2,0,3,False
材料2|三角波|50|fq0|bq2,8,4,0,3,False
材料2|三角波|50|fq0|bq3,15,4,0,3,False
材料2|三角波|50|fq1|bq0,3,2,0,3,False
材料2|三角波|50|fq1|bq1,12,4,0,3,False
材料2|三角波|50|fq1|bq2,12,4,0,3,False
材料2|三角波|50|fq1|bq3,23,4,0,3,False
材料2|三角波|50|fq2|bq0,22,3,0,3,False
材料2|三角波|50|fq2|bq1,19,3,0,3,False
材料2|三角波|50|fq2|bq2,21,3,0,3,False
材料2|三角波|50|fq2|bq3,24,5,0,3,False
材料2|三角波|50|fq3|bq0,36,4,0,3,False
材料2|三角波|50|fq3|bq1,28,5,0,3,False
材料2|三角波|50|fq3|bq2,22,4,0,3,False
材料2|三角波|50|fq3|bq3,7,3,1,3,False
材料2|三角波|70|fq0|bq1,2,2,0,3,False
材料2|三角波|70|fq0|bq2,7,4,0,3,False
材料2|三角波|70|fq0|bq3,15,4,0,3,False
材料2|三角波|70|fq1|bq0,3,2,0,3,False
材料2|三角波|70|fq1|bq1,11,3,0,3,False
材料2|三角波|70|fq1|bq2,14,3,0,3,False
材料2|三角波|70|fq1|bq3,23,5,0,3,False
材料2|三角波|70|fq2|bq0,18,3,0,3,False
材料2|三角波|70|fq2|bq1,22,4,1,3,False
材料2|三角波|70|fq2|bq2,20,4,0,3,False
材料2|三角波|70|fq2|bq3,28,4,1,3,False
材料2|三角波|70|fq3|bq0,39,4,1,3,False
材料2|三角波|70|fq3|bq1,24,4,1,3,False
材料2|三角波|70|fq3|bq2,20,3,2,3,False
材料2|三角波|70|fq3|bq3,6,2,2,3,False
材料2|三角波|90|fq0|bq1,2,1,0,3,False
材料2|三角波|90|fq0|bq2,9,2,0,3,False
材料2|三角波|90|fq0|bq3,19,4,0,3,False
材料2|三角波|90|fq1|bq0,1,1,0,3,False
材料2|三角波|90|fq1|bq1,6,4,0,3,False
材料2|三角波|90|fq1|bq2,12,4,0,3,False
材料2|三角波|90|fq1|bq3,20,5,0,3,False
材料2|三角波|90|fq2|bq0,15,3,0,3,False
材料2|三角波|90|fq2|bq1,20,4,0,3,False
材料2|三角波|90|fq2|bq2,25,4,0,3,False
材料2|三角波|90|fq2|bq3,25,3,1,3,False
材料2|三角波|90|fq3|bq0,36,4,1,3,False
材料2|三角波|90|fq3|bq1,28,3,3,3,True
材料2|三角波|90|fq3|bq2,24,5,3,3,True
材料2|三角波|90|fq3|bq3,10,2,2,3,False
材料2|梯形波|25|fq0|bq1,5,2,0,3,False
材料2|梯形波|25|fq0|bq2,17,5,0,3,False
材料2|梯形波|25|fq0|bq3,26,4,0,3,False
材料2|梯形波|25|fq1|bq0,1,1,0,3,False
材料2|梯形波|25|fq1|bq1,10,5,0,3,False
材料2|梯形波|25|fq1|bq2,11,3,0,3,False
材料2|梯形波|25|fq1|bq3,20,5,0,3,False
材料2|梯形波|25|fq2|bq0,6,3,0,3,False
材料2|梯形波|25|fq2|bq1,10,3,0,3,False
材料2|梯形波|25|fq2|bq2,9,2,0,3,False
材料2|梯形波|25|fq2|bq3,13,3,0,3,False
材料2|梯形波|25|fq3|bq0,32,4,0,3,False
材料2|梯形波|25|fq3|bq1,19,4,0,3,False
材料2|梯形波|25|fq3|bq2,23,4,0,3,False
材料2|梯形波|25|fq3|bq3,11,3,0,3,False
材料2|梯形波|50|fq0|bq1,6,3,0,3,False
材料2|梯形波|50|fq0|bq2,20,5,0,3,False
材料2|梯形波|50|fq0|bq3,25,5,0,3,False
材料2|梯形波|50|fq1|bq0,2,1,0,3,False
材料2|梯形波|50|fq1|bq1,12,3,0,3,False
材料2|梯形波|50|fq1|bq2,7,2,0,3,False
材料2|梯形波|50|fq1|bq3,20,5,0,3,False
材料2|梯形波|50|fq2|bq0,9,2,0,3,False
材料2|梯形波|50|fq2|bq1,11,2,0,3,False
材料2|梯形波|50|fq2|bq2,11,3,0,3,False
材料2|梯形波|50|fq2|bq3,15,4,0,3,False
材料2|梯形波|50|fq3|bq0,27,5,0,3,False
材料2|梯形波|50|fq3|bq1,24,4,0,3,False
材料2|梯形波|50|fq3|bq2,20,4,1,3,False
材料2|梯形波|50|fq3|bq3,10,3,0,3,False
材料2|梯形波|70|fq0|bq1,2,2,0,3,False
材料2|梯形波|70|fq0|bq2,20,4,0,3,False
材料2|梯形波|70|fq0|bq3,31,5,0,3,False
材料2|梯形波|70|fq1|bq0,1,1,0,3,False
材料2|梯形波|70|fq1|bq1,11,4,0,3,False
材料2|梯形波|70|fq1|bq2,12,2,0,3,False
材料2|梯形波|70|fq1|bq3,20,5,0,3,False
材料2|梯形波|70|fq2|bq0,10,3,0,3,False
材料2|梯形波|70|fq2|bq1,9,2,0,3,False
材料2|梯形波|70|fq2|bq2,12,2,0,3,False
材料2|梯形波|70|fq2|bq3,16,3,0,3,False
材料2|梯形波|70|fq3|bq0,30,5,3,3,True
材料2|梯形波|70|fq3|bq1,25,3,1,3,False
材料2|梯形波|70|fq3|bq2,23,4,4,3,True
材料2|梯形波|70|fq3|bq3,8,3,1,3,False
材料2|梯形波|90|fq0|bq1,4,3,0,3,False
材料2|梯形波|90|fq0|bq2,17,5,0,3,False
材料2|梯形波|90|fq0|bq3,28,5,0,3,False
材料2|梯形波|90|fq1|bq0,1,1,0,3,False
材料2|梯形波|90|fq1|bq1,12,3,0,3,False
材料2|梯形波|90|fq1|bq2,10,3,0,3,False
材料2|梯形波|90|fq1|bq3,17,5,0,3,False
材料2|梯形波|90|fq2|bq0,9,3,0,3,False
材料2|梯形波|90|fq2|bq1,8,3,0,3,False
材料2|梯形波|90|fq2|bq2,12,3,0,3,False
材料2|梯形波|90|fq2|bq3,17,4,0,3,False
材料2|梯形波|90|fq3|bq0,33,5,4,3,True
材料2|梯形波|90|fq3|bq1,21,5,2,3,False
材料2|梯形波|90|fq3|bq2,23,4,4,3,True
材料2|梯形波|90|fq3|bq3,11,4,1,3,False
材料2|正弦波|25|fq0|bq0,11,3,0,3,False
材料2|正弦波|25|fq0|bq1,24,3,0,3,False
材料2|正弦波|25|fq0|bq2,34,5,0,3,False
材料2|正弦波|25|fq0|bq3,25,4,0,3,False
材料2|正弦波|25|fq1|bq0,31,4,0,3,False
材料2|正弦波|25|fq1|bq1,27,4,0,3,False
材料2|正弦波|25|fq1|bq2,29,3,0,3,False
材料2|正弦波|25|fq1|bq3,30,5,0,3,False
材料2|正弦波|25|fq2|bq0,35,5,0,3,False
材料2|正弦波|25|fq2|bq1,17,2,0,3,False
材料2|正弦波|25|fq2|bq2,18,2,0,3,False
材料2|正弦波|25|fq2|bq3,1,1,0,3,False
材料2|正弦波|25|fq3|bq0,28,3,0,3,False
材料2|正弦波|25|fq3|bq1,18,2,0,3,False
材料2|正弦波|25|fq3|bq2,8,2,0,3,False
材料2|正弦波|50|fq0|bq0,6,3,0,3,False
材料2|正弦波|50|fq0|bq1,17,3,0,3,False
材料2|正弦波|50|fq0|bq2,14,4,0,3,False
材料2|正弦波|50|fq0|bq3,29,3,0,3,False
材料2|正弦波|50|fq1|bq0,18,4,0,3,False
材料2|正弦波|50|fq1|bq1,22,4,0,3,False
材料2|正弦波|50|fq1|bq2,17,5,0,3,False
材料2|正弦波|50|fq1|bq3,25,4,0,3,False
材料2|正弦波|50|fq2|bq0,20,4,1,3,False
材料2|正弦波|50|fq2|bq1,13,3,0,3,False
